"","protein","expr.cond1","ave.displacement.per.ms",".group"
"1","AlkD",10,2.21184955255478,1
"2","AlkD",50,1.50281307083635,1
"3","AlkF",10,2.47671012001969,2
"4","AlkF",50,2.29816914943293,2
