"","protein","trajectory.unique.id","expr.cond1","displacement.per.ms",".group"
"1","AlkD","1-sample_dataset",10,1.57964803785942,1
"2","AlkD","103-sample_dataset",10,1.45658634065259,2
"3","AlkD","12-sample_dataset",10,1.39099643477085,3
"4","AlkD","127-sample_dataset",10,4.28465474195874,4
"5","AlkD","128-sample_dataset",10,1.28321709411918,5
"6","AlkD","1292-sample_dataset",50,2.04578470941026,6
"7","AlkD","130-sample_dataset",10,2.84041365791216,7
"8","AlkD","1303-sample_dataset",50,2.48662882468577,8
"9","AlkD","1309-sample_dataset",50,1.65504341955475,9
"10","AlkD","1312-sample_dataset",50,2.13778734620231,10
"11","AlkD","132-sample_dataset",10,6.34075908256321,11
"12","AlkD","1325-sample_dataset",50,5.48892209657266,12
"13","AlkD","1326-sample_dataset",50,1.87159023443072,13
"14","AlkD","1329-sample_dataset",50,1.4136822060856,14
"15","AlkD","134-sample_dataset",10,3.74219132972329,15
"16","AlkD","1348-sample_dataset",50,2.68173712436668,16
"17","AlkD","136-sample_dataset",10,3.16853085327867,17
"18","AlkD","1360-sample_dataset",50,1.98030525029454,18
"19","AlkD","1362-sample_dataset",50,2.30202909650709,19
"20","AlkD","1364-sample_dataset",50,1.64306639008249,20
"21","AlkD","1366-sample_dataset",50,2.22101824338159,21
"22","AlkD","1367-sample_dataset",50,1.84654724878573,22
"23","AlkD","1371-sample_dataset",50,2.21587860740007,23
"24","AlkD","1381-sample_dataset",50,2.56360170831223,24
"25","AlkD","1398-sample_dataset",50,2.25862951688385,25
"26","AlkD","14-sample_dataset",10,1.32167598775929,26
"27","AlkD","140-sample_dataset",10,2.69679326108675,27
"28","AlkD","1401-sample_dataset",50,1.92991262195891,28
"29","AlkD","1402-sample_dataset",50,2.51162767395878,29
"30","AlkD","1405-sample_dataset",50,2.06350438967887,30
"31","AlkD","1426-sample_dataset",50,2.11334631853695,31
"32","AlkD","1427-sample_dataset",50,1.48326241879424,32
"33","AlkD","144-sample_dataset",10,3.4623273035827,33
