"","protein","trajectory.unique.id","expr.cond1","displacement.per.ms",".group"
"94","AlkD","12-sample_dataset",10,-2.85038670509355,2
"95","AlkD","12-sample_dataset",10,-0.384074481178659,2
"96","AlkD","12-sample_dataset",10,2.02122361899578,2
"97","AlkD","12-sample_dataset",10,-1.10539859736912,2
"98","AlkD","12-sample_dataset",10,1.73125642916477,2
"99","AlkD","12-sample_dataset",10,-0.257244273723374,2
"100","AlkD","12-sample_dataset",10,2.90169271688121,2
"101","AlkD","12-sample_dataset",10,0.212345655449669,2
"102","AlkD","12-sample_dataset",10,0.730002767511743,2
"103","AlkD","12-sample_dataset",10,0.730002767511743,2
"104","AlkD","12-sample_dataset",10,-1.69036036884381,2
"105","AlkD","12-sample_dataset",10,0.0122056859730295,2
"106","AlkD","12-sample_dataset",10,1.46018639473032,2
"107","AlkD","12-sample_dataset",10,-0.478169658185875,2
"108","AlkD","12-sample_dataset",10,-0.875714459044652,2
"109","AlkD","12-sample_dataset",10,2.32140793658029,2
"110","AlkD","12-sample_dataset",10,-1.38114288187603,2
"111","AlkD","12-sample_dataset",10,-6.49358835705436,2
"112","AlkD","12-sample_dataset",10,-1.77084215707873,2
"113","AlkD","12-sample_dataset",10,0.854837840246247,2
"114","AlkD","12-sample_dataset",10,1.30157510697386,2
"115","AlkD","12-sample_dataset",10,1.06854957449487,2
"116","AlkD","12-sample_dataset",10,2.81997834910894,2
"117","AlkD","12-sample_dataset",10,0.228563622382706,2
"118","AlkD","12-sample_dataset",10,0.885902176304558,2
"119","AlkD","12-sample_dataset",10,-1.94168476731053,2
"120","AlkD","12-sample_dataset",10,-0.941952984825792,2
"121","AlkD","12-sample_dataset",10,1.42275744169939,2
"122","AlkD","12-sample_dataset",10,-1.45360266627274,2
"123","AlkD","12-sample_dataset",10,-1.45360266627269,2
"124","AlkD","12-sample_dataset",10,-1.60845501728132,2
"125","AlkD","12-sample_dataset",10,0.614416382292164,2
"126","AlkD","12-sample_dataset",10,-2.13750749943482,2
"127","AlkD","12-sample_dataset",10,-1.15235729481619,2
"128","AlkD","12-sample_dataset",10,1.81403246008688,2
"129","AlkD","12-sample_dataset",10,3.71395425891056,2
"130","AlkD","12-sample_dataset",10,2.90461170113496,2
"131","AlkD","12-sample_dataset",10,-2.81884624528275,2
"132","AlkD","12-sample_dataset",10,2.34227769964792,2
"133","AlkD","12-sample_dataset",10,0.0795966804433654,2
"134","AlkD","12-sample_dataset",10,3.02388583026721,2
"135","AlkD","12-sample_dataset",10,0.61809965043575,2
"136","AlkD","12-sample_dataset",10,-2.98563858896463,2
"137","AlkD","12-sample_dataset",10,0.831094390353279,2
"138","AlkD","12-sample_dataset",10,2.18052396050623,2
"139","AlkD","12-sample_dataset",10,2.5621595888341,2
"140","AlkD","12-sample_dataset",10,1.01402657321751,2
"141","AlkD","12-sample_dataset",10,-3.35897044895281,2
"142","AlkD","12-sample_dataset",10,-3.40539903105863,2
"143","AlkD","12-sample_dataset",10,2.91747544404858,2
"144","AlkD","12-sample_dataset",10,0.0273420075975163,2
"145","AlkD","12-sample_dataset",10,-2.12674670129273,2
"146","AlkD","12-sample_dataset",10,-1.03376028307451,2
"147","AlkD","12-sample_dataset",10,0.0403042551808892,2
"148","AlkD","12-sample_dataset",10,-1.94053712188977,2
"149","AlkD","12-sample_dataset",10,-5.84176673467118,2
"150","AlkD","12-sample_dataset",10,-0.974057385141622,2
"151","AlkD","12-sample_dataset",10,-2.0304995636544,2
"152","AlkD","12-sample_dataset",10,-0.185623414033637,2
"153","AlkD","12-sample_dataset",10,3.16170533590522,2
"154","AlkD","12-sample_dataset",10,1.71152189481209,2
"155","AlkD","12-sample_dataset",10,0.592807230301251,2
